,datetime,value
0,2014-01-01T00:00:00.000+01:00,24248.017
1,2014-01-01T01:00:00.000+01:00,23267.868
2,2014-01-01T02:00:00.000+01:00,21594.55
3,2014-01-01T03:00:00.000+01:00,20164.158
4,2014-01-01T04:00:00.000+01:00,19254.315
5,2014-01-01T05:00:00.000+01:00,18953.656
6,2014-01-01T06:00:00.000+01:00,19030.597
7,2014-01-01T07:00:00.000+01:00,19308.207
8,2014-01-01T08:00:00.000+01:00,18969.041
9,2014-01-01T09:00:00.000+01:00,19363.067
10,2014-01-01T10:00:00.000+01:00,20978.805
11,2014-01-01T11:00:00.000+01:00,22508.727
12,2014-01-01T12:00:00.000+01:00,23270.077
13,2014-01-01T13:00:00.000+01:00,24105.419
14,2014-01-01T14:00:00.000+01:00,24305.395
15,2014-01-01T15:00:00.000+01:00,23153.678
16,2014-01-01T16:00:00.000+01:00,22794.436
17,2014-01-01T17:00:00.000+01:00,23445.228
18,2014-01-01T18:00:00.000+01:00,26010.565
19,2014-01-01T19:00:00.000+01:00,26951.042
20,2014-01-01T20:00:00.000+01:00,27778.302
21,2014-01-01T21:00:00.000+01:00,28248.542
22,2014-01-01T22:00:00.000+01:00,27586.378
23,2014-01-01T23:00:00.000+01:00,25414.884
24,2014-01-02T00:00:00.000+01:00,22855.695
25,2014-01-02T01:00:00.000+01:00,20614.971
26,2014-01-02T02:00:00.000+01:00,19417.835
27,2014-01-02T03:00:00.000+01:00,18777.755
28,2014-01-02T04:00:00.000+01:00,18651.042
29,2014-01-02T05:00:00.000+01:00,19370.629
30,2014-01-02T06:00:00.000+01:00,21768.332
31,2014-01-02T07:00:00.000+01:00,25101.418
32,2014-01-02T08:00:00.000+01:00,28063.191
33,2014-01-02T09:00:00.000+01:00,30687.009
34,2014-01-02T10:00:00.000+01:00,32462.179
35,2014-01-02T11:00:00.000+01:00,33113.396
36,2014-01-02T12:00:00.000+01:00,32912.288
37,2014-01-02T13:00:00.000+01:00,33039.484
38,2014-01-02T14:00:00.000+01:00,32117.486
39,2014-01-02T15:00:00.000+01:00,31222.539
40,2014-01-02T16:00:00.000+01:00,31137.801
41,2014-01-02T17:00:00.000+01:00,31940.8
42,2014-01-02T18:00:00.000+01:00,33572.469
43,2014-01-02T19:00:00.000+01:00,33661.417
44,2014-01-02T20:00:00.000+01:00,33471.27
45,2014-01-02T21:00:00.000+01:00,33052.211
46,2014-01-02T22:00:00.000+01:00,31277.37
47,2014-01-02T23:00:00.000+01:00,28581.109
48,2014-01-03T00:00:00.000+01:00,26073.547
49,2014-01-03T01:00:00.000+01:00,23733.767
50,2014-01-03T02:00:00.000+01:00,22307.154
51,2014-01-03T03:00:00.000+01:00,21480.982
52,2014-01-03T04:00:00.000+01:00,21252.639
53,2014-01-03T05:00:00.000+01:00,21755.567
54,2014-01-03T06:00:00.000+01:00,23543.974
55,2014-01-03T07:00:00.000+01:00,26442.839
56,2014-01-03T08:00:00.000+01:00,29062.373
57,2014-01-03T09:00:00.000+01:00,31155.304
58,2014-01-03T10:00:00.000+01:00,32371.195
59,2014-01-03T11:00:00.000+01:00,32492.522
60,2014-01-03T12:00:00.000+01:00,31963.955
61,2014-01-03T13:00:00.000+01:00,31892.46
62,2014-01-03T14:00:00.000+01:00,30761.133
63,2014-01-03T15:00:00.000+01:00,29776.394
64,2014-01-03T16:00:00.000+01:00,29553.416
65,2014-01-03T17:00:00.000+01:00,30079.594
66,2014-01-03T18:00:00.000+01:00,32026.441
67,2014-01-03T19:00:00.000+01:00,32490.822
68,2014-01-03T20:00:00.000+01:00,32542.064
69,2014-01-03T21:00:00.000+01:00,32004.787
70,2014-01-03T22:00:00.000+01:00,30459.138
71,2014-01-03T23:00:00.000+01:00,28348.545
72,2014-01-04T00:00:00.000+01:00,26263.625
73,2014-01-04T01:00:00.000+01:00,24020.201
74,2014-01-04T02:00:00.000+01:00,22334.771
75,2014-01-04T03:00:00.000+01:00,21435.798
76,2014-01-04T04:00:00.000+01:00,21005.381
77,2014-01-04T05:00:00.000+01:00,20981.033
78,2014-01-04T06:00:00.000+01:00,21541.324
79,2014-01-04T07:00:00.000+01:00,22700.849
80,2014-01-04T08:00:00.000+01:00,24038.977
81,2014-01-04T09:00:00.000+01:00,26372.836
82,2014-01-04T10:00:00.000+01:00,28826.44
83,2014-01-04T11:00:00.000+01:00,29469.911
84,2014-01-04T12:00:00.000+01:00,29420.027
85,2014-01-04T13:00:00.000+01:00,29529.196
86,2014-01-04T14:00:00.000+01:00,29276.948
87,2014-01-04T15:00:00.000+01:00,28160.767
88,2014-01-04T16:00:00.000+01:00,27434.198
89,2014-01-04T17:00:00.000+01:00,27650.317
90,2014-01-04T18:00:00.000+01:00,30119.264
91,2014-01-04T19:00:00.000+01:00,30848.478
92,2014-01-04T20:00:00.000+01:00,31390.7
93,2014-01-04T21:00:00.000+01:00,31453.999
94,2014-01-04T22:00:00.000+01:00,30198.928
95,2014-01-04T23:00:00.000+01:00,28100.539
96,2014-01-05T00:00:00.000+01:00,25635.55
97,2014-01-05T01:00:00.000+01:00,23278.076
98,2014-01-05T02:00:00.000+01:00,21586.389
99,2014-01-05T03:00:00.000+01:00,20689.16
100,2014-01-05T04:00:00.000+01:00,20243.98
101,2014-01-05T05:00:00.000+01:00,20349.614
102,2014-01-05T06:00:00.000+01:00,20646.713
103,2014-01-05T07:00:00.000+01:00,21251.584
104,2014-01-05T08:00:00.000+01:00,21834.591
105,2014-01-05T09:00:00.000+01:00,23783.072
106,2014-01-05T10:00:00.000+01:00,26595.136
107,2014-01-05T11:00:00.000+01:00,27813.427
108,2014-01-05T12:00:00.000+01:00,27881.595
109,2014-01-05T13:00:00.000+01:00,28294.829
110,2014-01-05T14:00:00.000+01:00,28029.685
111,2014-01-05T15:00:00.000+01:00,26671.363
112,2014-01-05T16:00:00.000+01:00,26019.92
113,2014-01-05T17:00:00.000+01:00,25951.216
114,2014-01-05T18:00:00.000+01:00,27950.234
115,2014-01-05T19:00:00.000+01:00,28147.754
116,2014-01-05T20:00:00.000+01:00,28597.832
117,2014-01-05T21:00:00.000+01:00,29018.984
118,2014-01-05T22:00:00.000+01:00,28535.133
119,2014-01-05T23:00:00.000+01:00,27211.164
120,2014-01-06T00:00:00.000+01:00,25085.487
121,2014-01-06T01:00:00.000+01:00,22915.02
122,2014-01-06T02:00:00.000+01:00,21111.006
123,2014-01-06T03:00:00.000+01:00,20098.942
124,2014-01-06T04:00:00.000+01:00,19679.607
125,2014-01-06T05:00:00.000+01:00,19699.98
126,2014-01-06T06:00:00.000+01:00,20035.155
127,2014-01-06T07:00:00.000+01:00,20738.66
128,2014-01-06T08:00:00.000+01:00,20914.884
129,2014-01-06T09:00:00.000+01:00,22371.533
130,2014-01-06T10:00:00.000+01:00,24033.677
131,2014-01-06T11:00:00.000+01:00,24829.683
132,2014-01-06T12:00:00.000+01:00,24720.916
133,2014-01-06T13:00:00.000+01:00,24970.423
134,2014-01-06T14:00:00.000+01:00,24460.925
135,2014-01-06T15:00:00.000+01:00,23206.002
136,2014-01-06T16:00:00.000+01:00,22679.934
137,2014-01-06T17:00:00.000+01:00,23126.507
138,2014-01-06T18:00:00.000+01:00,25873.066
139,2014-01-06T19:00:00.000+01:00,27427.971
140,2014-01-06T20:00:00.000+01:00,28399.511
141,2014-01-06T21:00:00.000+01:00,29105.809
142,2014-01-06T22:00:00.000+01:00,28498.12
143,2014-01-06T23:00:00.000+01:00,26398.406
144,2014-01-07T00:00:00.000+01:00,24295.566
145,2014-01-07T01:00:00.000+01:00,22218.518
146,2014-01-07T02:00:00.000+01:00,21003.056
147,2014-01-07T03:00:00.000+01:00,20402.509
148,2014-01-07T04:00:00.000+01:00,20360.182
149,2014-01-07T05:00:00.000+01:00,21148.027
150,2014-01-07T06:00:00.000+01:00,24121.849
151,2014-01-07T07:00:00.000+01:00,28316.152
152,2014-01-07T08:00:00.000+01:00,31655.07
153,2014-01-07T09:00:00.000+01:00,33511.895
154,2014-01-07T10:00:00.000+01:00,34387.23
155,2014-01-07T11:00:00.000+01:00,34362.952
156,2014-01-07T12:00:00.000+01:00,33887.242
157,2014-01-07T13:00:00.000+01:00,33711.163
158,2014-01-07T14:00:00.000+01:00,32504.425
159,2014-01-07T15:00:00.000+01:00,31832.013
160,2014-01-07T16:00:00.000+01:00,31661.467
161,2014-01-07T17:00:00.000+01:00,32471.96
162,2014-01-07T18:00:00.000+01:00,34789.904
163,2014-01-07T19:00:00.000+01:00,35648.581
164,2014-01-07T20:00:00.000+01:00,35815.755
165,2014-01-07T21:00:00.000+01:00,35004.634
166,2014-01-07T22:00:00.000+01:00,32301.604
167,2014-01-07T23:00:00.000+01:00,29422.309
168,2014-01-08T00:00:00.000+01:00,26970.455
169,2014-01-08T01:00:00.000+01:00,24598.905
170,2014-01-08T02:00:00.000+01:00,23337.141
171,2014-01-08T03:00:00.000+01:00,22875.131
172,2014-01-08T04:00:00.000+01:00,22629.242
173,2014-01-08T05:00:00.000+01:00,23224.981
174,2014-01-08T06:00:00.000+01:00,25816.611
175,2014-01-08T07:00:00.000+01:00,30309.985
176,2014-01-08T08:00:00.000+01:00,33674.381
177,2014-01-08T09:00:00.000+01:00,34518.109
178,2014-01-08T10:00:00.000+01:00,35083.794
179,2014-01-08T11:00:00.000+01:00,34929.674
180,2014-01-08T12:00:00.000+01:00,34436.449
181,2014-01-08T13:00:00.000+01:00,34040.257
182,2014-01-08T14:00:00.000+01:00,32691.089
183,2014-01-08T15:00:00.000+01:00,32155.974
184,2014-01-08T16:00:00.000+01:00,32019.586
185,2014-01-08T17:00:00.000+01:00,32696.93
186,2014-01-08T18:00:00.000+01:00,35182.695
187,2014-01-08T19:00:00.000+01:00,36245.397
188,2014-01-08T20:00:00.000+01:00,36374.17
189,2014-01-08T21:00:00.000+01:00,35471.976
190,2014-01-08T22:00:00.000+01:00,32796.144
191,2014-01-08T23:00:00.000+01:00,29677.832
192,2014-01-09T00:00:00.000+01:00,26977.79
193,2014-01-09T01:00:00.000+01:00,24813.458
194,2014-01-09T02:00:00.000+01:00,23516.394
195,2014-01-09T03:00:00.000+01:00,23069.884
196,2014-01-09T04:00:00.000+01:00,22906.478
197,2014-01-09T05:00:00.000+01:00,23520.645
198,2014-01-09T06:00:00.000+01:00,25974.638
199,2014-01-09T07:00:00.000+01:00,30464.686
200,2014-01-09T08:00:00.000+01:00,33747.99
201,2014-01-09T09:00:00.000+01:00,34578.058
202,2014-01-09T10:00:00.000+01:00,35133.349
203,2014-01-09T11:00:00.000+01:00,34910.323
204,2014-01-09T12:00:00.000+01:00,34396.942
205,2014-01-09T13:00:00.000+01:00,34087.497
206,2014-01-09T14:00:00.000+01:00,32672.873
207,2014-01-09T15:00:00.000+01:00,32153.499
208,2014-01-09T16:00:00.000+01:00,32095.612
209,2014-01-09T17:00:00.000+01:00,32888.722
210,2014-01-09T18:00:00.000+01:00,35123.75
211,2014-01-09T19:00:00.000+01:00,36341.868
